bugged_date;receipt_date;deputy_id;political_party;state_code;deputy_name;receipt_social_security_number;receipt_description;establishment_name;receipt_value
0;17/06/2013 00:00;1772;PSB;SP;Abelardo Camarinha;;Telephony;CELULAR FUNCIONAL;45
0;19/06/2013 00:00;1772;PSB;SP;Abelardo Camarinha;;Telephony;CELULAR FUNCIONAL;134
0;11/07/2013 00:00;1772;PSB;SP;Abelardo Camarinha;;Telephony;CELULAR FUNCIONAL;74
0;17/07/2013 00:00;1772;PSB;SP;Abelardo Camarinha;;Telephony;CELULAR FUNCIONAL;34
0;12/08/2013 00:00;1772;PSB;SP;Abelardo Camarinha;;Telephony;CELULAR FUNCIONAL;67
0;14/08/2013 00:00;1772;PSB;SP;Abelardo Camarinha;;Telephony;CELULAR FUNCIONAL;42
0;12/09/2013 00:00;1772;PSB;SP;Abelardo Camarinha;;Telephony;CELULAR FUNCIONAL;60
0;17/09/2013 00:00;1772;PSB;SP;Abelardo Camarinha;;Telephony;CELULAR FUNCIONAL;89
0;11/10/2013 00:00;1772;PSB;SP;Abelardo Camarinha;;Telephony;CELULAR FUNCIONAL;97
0;18/11/2013 00:00;1772;PSB;SP;Abelardo Camarinha;;Telephony;CELULAR FUNCIONAL;67
0;11/12/2013 00:00;1772;PSB;SP;Abelardo Camarinha;;Telephony;CELULAR FUNCIONAL;67
1;2013;1772;PSB;SP;Abelardo Camarinha;;Telephony;IMÓVEL FUNCIONAL;181
1;2013;1772;PSB;SP;Abelardo Camarinha;;Telephony;IMÓVEL FUNCIONAL;119
1;2013;1772;PSB;SP;Abelardo Camarinha;;Telephony;IMÓVEL FUNCIONAL;117
1;2013;1772;PSB;SP;Abelardo Camarinha;;Telephony;IMÓVEL FUNCIONAL;111
1;2013;1772;PSB;SP;Abelardo Camarinha;;Telephony;IMÓVEL FUNCIONAL;101
1;2013;1772;PSB;SP;Abelardo Camarinha;;Telephony;IMÓVEL FUNCIONAL;73
1;2013;1772;PSB;SP;Abelardo Camarinha;;Telephony;IMÓVEL FUNCIONAL;72
1;2013;1772;PSB;SP;Abelardo Camarinha;;Telephony;IMÓVEL FUNCIONAL;71
1;2013;1772;PSB;SP;Abelardo Camarinha;;Telephony;IMÓVEL FUNCIONAL;55
1;2013;1772;PSB;SP;Abelardo Camarinha;;Telephony;IMÓVEL FUNCIONAL;51
